"Acceleration","Cylinders","Displacement","Horsepower","Model","Model_Year","MPG","Origin","Weight","Model_Year_70","Model_Year_76","Model_Year_82"
12,8,307,130,"chevrolet chevelle malibu           ",70,18,"USA    ",3504,1,0,0
11.5,8,350,165,"buick skylark 320                   ",70,15,"USA    ",3693,1,0,0
11,8,318,150,"plymouth satellite                  ",70,18,"USA    ",3436,1,0,0
12,8,304,150,"amc rebel sst                       ",70,16,"USA    ",3433,1,0,0
10.5,8,302,140,"ford torino                         ",70,17,"USA    ",3449,1,0,0
10,8,429,198,"ford galaxie 500                    ",70,15,"USA    ",4341,1,0,0
9,8,454,220,"chevrolet impala                    ",70,14,"USA    ",4354,1,0,0
8.5,8,440,215,"plymouth fury iii                   ",70,14,"USA    ",4312,1,0,0
10,8,455,225,"pontiac catalina                    ",70,14,"USA    ",4425,1,0,0
8.5,8,390,190,"amc ambassador dpl                  ",70,15,"USA    ",3850,1,0,0
10,8,383,170,"dodge challenger se                 ",70,15,"USA    ",3563,1,0,0
8,8,340,160,"plymouth 'cuda 340                  ",70,14,"USA    ",3609,1,0,0
9.5,8,400,150,"chevrolet monte carlo               ",70,15,"USA    ",3761,1,0,0
10,8,455,225,"buick estate wagon (sw)             ",70,14,"USA    ",3086,1,0,0
15,4,113,95,"toyota corona mark ii               ",70,24,"Japan  ",2372,1,0,0
15.5,6,198,95,"plymouth duster                     ",70,22,"USA    ",2833,1,0,0
15.5,6,199,97,"amc hornet                          ",70,18,"USA    ",2774,1,0,0
16,6,200,85,"ford maverick                       ",70,21,"USA    ",2587,1,0,0
14.5,4,97,88,"datsun pl510                        ",70,27,"Japan  ",2130,1,0,0
20.5,4,97,46,"volkswagen 1131 deluxe sedan        ",70,26,"Germany",1835,1,0,0
17.5,4,110,87,"peugeot 504                         ",70,25,"France ",2672,1,0,0
14.5,4,107,90,"audi 100 ls                         ",70,24,"Germany",2430,1,0,0
17.5,4,104,95,"saab 99e                            ",70,25,"Sweden ",2375,1,0,0
12.5,4,121,113,"bmw 2002                            ",70,26,"Germany",2234,1,0,0
15,6,199,90,"amc gremlin                         ",70,21,"USA    ",2648,1,0,0
14,8,360,215,"ford f250                           ",70,10,"USA    ",4615,1,0,0
15,8,307,200,"chevy c20                           ",70,10,"USA    ",4376,1,0,0
13.5,8,318,210,"dodge d200                          ",70,11,"USA    ",4382,1,0,0
18.5,8,304,193,"hi 1200d                            ",70,9,"USA    ",4732,1,0,0
15.5,4,107,86,"fiat 131                            ",76,28,"Italy  ",2464,0,1,0
16.9,4,116,81,"opel 1900                           ",76,25,"Germany",2220,0,1,0
14.9,4,140,92,"capri ii                            ",76,25,"USA    ",2572,0,1,0
17.7,4,98,79,"dodge colt                          ",76,26,"USA    ",2255,0,1,0
15.3,4,101,83,"renault 12tl                        ",76,27,"France ",2202,0,1,0
13,8,305,140,"chevrolet chevelle malibu classic   ",76,17.5,"USA    ",4215,0,1,0
13,8,318,150,"dodge coronet brougham              ",76,16,"USA    ",4190,0,1,0
13.9,8,304,120,"amc matador                         ",76,15.5,"USA    ",3962,0,1,0
12.8,8,351,152,"ford gran torino                    ",76,14.5,"USA    ",4215,0,1,0
15.4,6,225,100,"plymouth valiant                    ",76,22,"USA    ",3233,0,1,0
14.5,6,250,105,"chevrolet nova                      ",76,22,"USA    ",3353,0,1,0
17.6,6,200,81,"ford maverick                       ",76,24,"USA    ",3012,0,1,0
17.6,6,232,90,"amc hornet                          ",76,22.5,"USA    ",3085,0,1,0
22.2,4,85,52,"chevrolet chevette                  ",76,29,"USA    ",2035,0,1,0
22.1,4,98,60,"chevrolet woody                     ",76,24.5,"USA    ",2164,0,1,0
14.2,4,90,70,"vw rabbit                           ",76,29,"Germany",1937,0,1,0
17.4,4,91,53,"honda civic                         ",76,33,"Japan  ",1795,0,1,0
17.7,6,225,100,"dodge aspen se                      ",76,20,"USA    ",3651,0,1,0
21,6,250,78,"ford granada ghia                   ",76,18,"USA    ",3574,0,1,0
16.2,6,250,110,"pontiac ventura sj                  ",76,18.5,"USA    ",3645,0,1,0
17.8,6,258,95,"amc pacer d/l                       ",76,17.5,"USA    ",3193,0,1,0
12.2,4,97,71,"volkswagen rabbit                   ",76,29.5,"Germany",1825,0,1,0
17,4,85,70,"datsun b-210                        ",76,32,"Japan  ",1990,0,1,0
16.4,4,97,75,"toyota corolla                      ",76,28,"Japan  ",2155,0,1,0
13.6,4,140,72,"ford pinto                          ",76,26.5,"USA    ",2565,0,1,0
15.7,4,130,102,"volvo 245                           ",76,20,"Sweden ",3150,0,1,0
13.2,8,318,150,"plymouth volare premier v8          ",76,13,"USA    ",3940,0,1,0
21.9,4,120,88,"peugeot 504                         ",76,19,"France ",3270,0,1,0
15.5,6,156,108,"toyota mark ii                      ",76,19,"Japan  ",2930,0,1,0
16.7,6,168,120,"mercedes-benz 280s                  ",76,16.5,"Germany",3820,0,1,0
12.1,8,350,180,"cadillac seville                    ",76,16.5,"USA    ",4380,0,1,0
12,8,350,145,"chevy c10                           ",76,13,"USA    ",4055,0,1,0
15,8,302,130,"ford f108                           ",76,13,"USA    ",3870,0,1,0
14,8,318,150,"dodge d100                          ",76,13,"USA    ",3755,0,1,0
19.6,4,112,88,"chevrolet cavalier                  ",82,28,"USA    ",2605,0,0,1
18.6,4,112,88,"chevrolet cavalier wagon            ",82,27,"USA    ",2640,0,0,1
18,4,112,88,"chevrolet cavalier 2-door           ",82,34,"USA    ",2395,0,0,1
16.2,4,112,85,"pontiac j2000 se hatchback          ",82,31,"USA    ",2575,0,0,1
16,4,135,84,"dodge aries se                      ",82,29,"USA    ",2525,0,0,1
18,4,151,90,"pontiac phoenix                     ",82,27,"USA    ",2735,0,0,1
16.4,4,140,92,"ford fairmont futura                ",82,24,"USA    ",2865,0,0,1
15.3,4,105,74,"volkswagen rabbit l                 ",82,36,"Germany",1980,0,0,1
18.2,4,91,68,"mazda glc custom l                  ",82,37,"Japan  ",2025,0,0,1
17.6,4,91,68,"mazda glc custom                    ",82,31,"Japan  ",1970,0,0,1
14.7,4,105,63,"plymouth horizon miser              ",82,38,"USA    ",2125,0,0,1
17.3,4,98,70,"mercury lynx l                      ",82,36,"USA    ",2125,0,0,1
14.5,4,120,88,"nissan stanza xe                    ",82,36,"Japan  ",2160,0,0,1
14.5,4,107,75,"honda accord                        ",82,36,"Japan  ",2205,0,0,1
16.9,4,108,70,"toyota corolla                      ",82,34,"Japan  ",2245,0,0,1
15,4,91,67,"honda civic                         ",82,38,"Japan  ",1965,0,0,1
15.7,4,91,67,"honda civic (auto)                  ",82,32,"Japan  ",1965,0,0,1
16.2,4,91,67,"datsun 310 gx                       ",82,38,"Japan  ",1995,0,0,1
16.4,6,181,110,"buick century limited               ",82,25,"USA    ",2945,0,0,1
17,6,262,85,"oldsmobile cutlass ciera (diesel)   ",82,38,"USA    ",3015,0,0,1
14.5,4,156,92,"chrysler lebaron medallion          ",82,26,"USA    ",2585,0,0,1
14.7,6,232,112,"ford granada l                      ",82,22,"USA    ",2835,0,0,1
13.9,4,144,96,"toyota celica gt                    ",82,32,"Japan  ",2665,0,0,1
13,4,135,84,"dodge charger 2.2                   ",82,36,"USA    ",2370,0,0,1
17.3,4,151,90,"chevrolet camaro                    ",82,27,"USA    ",2950,0,0,1
15.6,4,140,86,"ford mustang gl                     ",82,27,"USA    ",2790,0,0,1
24.6,4,97,52,"vw pickup                           ",82,44,"Germany",2130,0,0,1
11.6,4,135,84,"dodge rampage                       ",82,32,"USA    ",2295,0,0,1
18.6,4,120,79,"ford ranger                         ",82,28,"USA    ",2625,0,0,1
19.4,4,119,82,"chevy s-10                          ",82,31,"USA    ",2720,0,0,1
